Course Name,Level,English Word,Polish Word
Basic Vocabulary,1,the,ten
Basic Vocabulary,1,be,być
Basic Vocabulary,1,and,i
Basic Vocabulary,1,of,z
Basic Vocabulary,1,a,pewien
Basic Vocabulary,1,in,w
Basic Vocabulary,1,to,do
Basic Vocabulary,1,have,mieć
Basic Vocabulary,1,to,do
Basic Vocabulary,1,it,to
Basic Vocabulary,1,I,ja
Basic Vocabulary,1,that,że
Basic Vocabulary,1,for,do
Basic Vocabulary,1,you,ty
Basic Vocabulary,1,he,on
Basic Vocabulary,1,with,z
Basic Vocabulary,1,on,na
Basic Vocabulary,1,do,zrobić
Basic Vocabulary,1,say,powiedzieć
Basic Vocabulary,1,this,ten
Basic Vocabulary,1,they,oni
Basic Vocabulary,1,at,na
Basic Vocabulary,1,but,ale
Basic Vocabulary,1,we,my
Basic Vocabulary,1,his,jego
Basic Vocabulary,1,from,z
Basic Vocabulary,1,that,że
Basic Vocabulary,1,not,nie
Basic Vocabulary,1,by,przez
Basic Vocabulary,1,she,ona
Basic Vocabulary,1,or,lub
Basic Vocabulary,1,as,jak
Basic Vocabulary,1,what,co
Basic Vocabulary,1,go,iść
Basic Vocabulary,1,their,ich
Basic Vocabulary,1,can,móc
Basic Vocabulary,1,who,kto
Basic Vocabulary,1,get,dostać
Basic Vocabulary,1,if,jeśli
Basic Vocabulary,1,would,by
Basic Vocabulary,1,her,jej
Basic Vocabulary,1,all,wszystko
Basic Vocabulary,1,my,mój
Basic Vocabulary,1,make,zrobić
Basic Vocabulary,1,about,o
Basic Vocabulary,1,know,wiedzieć
Basic Vocabulary,1,will,będzie
Basic Vocabulary,1,as,jak
Basic Vocabulary,1,up,do góry
Basic Vocabulary,1,one,jeden
Basic Vocabulary,1,time,czas
Basic Vocabulary,1,there,tam
Basic Vocabulary,1,year,rok
Basic Vocabulary,1,so,więc
Basic Vocabulary,1,think,myśleć
Basic Vocabulary,1,when,kiedy
Basic Vocabulary,1,which,który
Basic Vocabulary,1,them,ich
Basic Vocabulary,1,some,niektóry
Basic Vocabulary,1,me,mnie
Basic Vocabulary,1,people,ludzie
Basic Vocabulary,1,take,brać
